SpeciesCode,ScientificName,CommonName,Tree Type,SppValueAssignment,Species Rating (%),Basic Price ($/sq in),Palm Trunk Cost($/ft),Replacement Cost ($),TAr (sq Inches),region
ULPA,Ulmus parvifolia,Chinese elm,BDM,BDM OTHER,87,66,0,530,7.0650048828125,PiedmtCLT
ULPU,Ulmus pumila,Siberian elm,BDL,BDL OTHER,12,66,0,530,7.0650048828125,PiedmtCLT
ULRU,Ulmus rubra,Slippery elm,BDM,BDM OTHER,50,66,0,530,7.0650048828125,PiedmtCLT
ULS,Ulmus spp,Elm,BDL,BDL OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
VIAG,Vitex agnus-castus,Chaste tree,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
VIPR,Viburnum prunifolium,Black haw,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
VISP2,Viburnum spp,Viburnum,BDS,BDS OTHER,90,66,0,530,7.0650048828125,PiedmtCLT
WAFI,Washingtonia filifera,California palm,PES,WAFI,50,0,60,1350,15,PiedmtCLT
WARO,Washingtonia robusta,Mexican fan palm,PEM,WARO,50,0,40,900,15,PiedmtCLT
YU1,Yucca spp,Yucca,PES,PES OTHER,50,0,4,90,15,PiedmtCLT
ZESE,Zelkova serrata,Japanese zelkova,BDL,BDL OTHER,80,66,0,530,7.0650048828125,PiedmtCLT
